shipment_id,customer_id,origin_city,destination_city,carrier,shipment_mode,distance_km,package_weight,weather_condition,traffic_level,shipment_status,delay_hours,shipment_date
1,f4440157-651d-465a-8aad-ffd292174e39,Kozova,Horní Štěpánov,UPS,Rail,1180,30,Heatwave,High,Delivered,28,7/16/2025
2,6e936289-45fb-4501-baff-36efecb20508,Krajan Craken,Berģi,FedEx,Air,2751,76,Heatwave,Medium,Exception,6,1/9/2025
3,22ea3c5b-b985-4fe9-bd16-d9876a6d2ab9,Nanortalik,Sukhothai,UPS,Rail,2285,10,Fog,High,Delivered,27,6/12/2024
4,9fe847f2-e886-489f-9da7-58893e1d14b8,Fada N'gourma,Hailin,BlueDart,Road,1155,26,Heatwave,Medium,In Transit,41,11/23/2025
5,34321f7c-7471-42c3-9d6c-428f49f04356,Chãos,Estela,BlueDart,Sea,541,48,Fog,Medium,Delivered,35,8/27/2024
6,f947c627-fea5-4909-878d-55501ebe7210,Tianhe,Kanash,BlueDart,Air,1857,85,Fog,High,Delivered,21,11/20/2025
7,b7d0dd51-eadb-452d-aa2f-d6f9554a1f52,Châtellerault,Ar Rifā‘,UPS,Rail,2906,23,Fog,Low,Delayed,1,6/19/2024
8,82f48079-52b1-4b9a-811d-3d5dbdb028be,Velyki Sorochyntsi,Yingtan,BlueDart,Road,1473,22,Storm,High,Delayed,66,3/30/2025
9,a090378d-fbb5-436a-91c6-624757c921af,Shahumyan,Helmas,Delhivery,Rail,2619,36,Clear,Low,Exception,37,5/16/2026
10,8e3a1033-3034-4b4d-b1be-77d968fd71c6,Elliot,Paris 02,DHL,Sea,2199,10,Rain,Medium,Delivered,56,8/1/2025
11,87ad21f5-a61f-4fe1-9f51-d35a3dc7e3af,Barajevo,Veselynove,BlueDart,Road,2798,93,Heatwave,Medium,Delayed,72,4/19/2025
12,4febecca-9f1f-4f82-9062-c91d82e613ce,Atabayan,Mont-Saint-Aignan,BlueDart,Sea,2894,64,Clear,Medium,Exception,45,9/28/2025
